;votes;metascore;Action;Drama;Sci-Fi;Advendture;Fantasy;Comedy;History;Horror;Mystery;Thriller;Crime;Animation;Family;Musical;Romance;Sport;Biography;Music;Western;imdb_encoding
66;254807;65;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1
67;253913;62;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;251172;44;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;244030;39;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;240209;65;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
71;215486;48;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1
72;214275;82;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;206976;94;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
74;193695;54;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
75;193656;52;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
76;192655;56;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
77;186800;52;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;185436;73;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1
79;180393;93;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
80;179879;41;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;174951;75;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
82;174357;47;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
83;164360;34;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;163498;63;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
85;161419;77;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
86;158339;29;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
87;154358;75;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1
88;152059;51;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;150016;37;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
90;146205;65;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
91;127696;27;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;124839;66;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
93;124621;76;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
94;124218;75;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1
95;120967;83;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1
96;119404;71;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1
97;118830;34;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;116534;78;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
99;112074;86;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1
100;527314;85;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
101;527257;67;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
102;519811;76;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
103;504922;94;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
104;474162;73;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
105;447628;84;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1
106;424133;69;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
107;417353;81;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
108;400585;86;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
109;386210;88;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
110;356056;45;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;340987;87;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
112;334367;75;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
113;324208;81;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1
114;289796;58;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;254807;65;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1
116;253913;62;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;251172;44;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;244030;39;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
